('ops', 'acc', 'layer structure')
(8070, 0.9320999999999999, [10, 10])
(89610, 0.97706, [100, 100])
(16330, 0.94756, [20, 20])
(24790, 0.9568999999999999, [30, 30])
(33450, 0.96196, [40, 40])
(42310, 0.96692, [50, 50])
(51370, 0.97026, [60, 60])
(60630, 0.97316, [70, 70])
(70090, 0.9766199999999999, [80, 80])
(79750, 0.9774999999999998, [90, 90])
